cpu-cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss
1368215093,2446520290,53346,22914758,123215420,142975,59574,3222739,30681,1643,614450,455,36460,100393,5791108
1367585178,2503001268,37480,22848066,122053885,158838,63571,3295856,38949,1649,620096,384,35485,101543,5503309
1366643865,2498061638,43504,22717126,121449857,157807,54706,3286017,27294,1691,623964,438,33526,105574,5656746
1362658399,2381382813,81845,26948305,118206945,163662,75377,3101288,48131,1509,608106,506,32899,98126,5091102
1361521210,2498673659,36341,22740294,121111173,160829,60592,3343978,31833,2026,623874,489,34456,99007,5443728
1362290701,2446687331,57055,22841408,121844520,149231,59265,3224561,24569,1516,620903,341,32333,86894,5731989
1365728517,2445604216,48901,23064579,121632961,145612,69768,3275005,35409,1404,629763,353,33187,83010,5684572
1359873632,2508543957,32150,22826761,120247266,151405,67074,3390889,35054,1760,615712,468,32094,82438,5320909
1364294106,2456429613,56257,22575384,122677018,146543,59040,3199172,24834,1691,613588,504,34014,85950,5786266
1369593164,2462062581,52153,23048790,123528065,149882,65954,3226713,34854,1423,615173,417,34095,85551,5648436
1371107879,2497678145,39976,22928437,123131628,148464,69805,3279734,47339,1407,625742,418,30782,81337,5575579
1374576314,2541909356,42896,22745962,123884637,146014,62485,3255778,34731,1721,628136,328,35498,85195,5692854
1366162825,2431624505,59627,22893896,121301975,151574,61140,3252455,33139,1631,617118,370,34467,85440,5839731
1369335083,2442739996,49246,23023547,122734017,147778,67879,3196837,44367,1655,632308,280,36652,83766,5651692
1370318811,2548840564,30102,22997544,119915431,160303,74361,3021412,62145,1875,603380,415,36550,84070,5459503
1367176587,2447876054,59768,22743971,122943184,161542,66719,3161459,41464,1797,616840,446,32190,87108,5744141
1365716008,2482804300,39236,22847097,122257581,159366,71221,3244967,51925,1767,619452,428,34060,82974,5533915
1368801357,2529709160,37902,22694815,122261771,162273,65023,3265780,41143,1956,619505,497,33896,86600,5506719
1370168097,2476717109,58338,22791228,122693577,160510,60377,3180282,37923,1661,616769,349,30597,86837,5731696
1372514484,2456854778,54177,23006509,123004851,162802,70412,3186994,48542,1710,620207,370,34611,84124,5612178
1371245640,2511369465,31543,22795396,121832502,154167,69474,3251087,48162,1691,622749,271,34242,81348,5546003
1371096818,2526376721,48417,22566824,122292037,146085,61241,3185747,36928,1800,625932,368,37274,86907,5588375
1370970741,2457975947,60262,22790140,122486165,164894,65055,3192039,40540,1703,620397,349,32993,85546,5794859
1369479444,2488185377,45019,23011235,122961695,163011,71725,3247885,51003,1797,623154,256,31995,82789,5581108
1368537567,2532061982,32856,22544672,121279270,152566,65524,3244825,41855,1839,629213,500,35611,83450,5437267
1372860961,2480527791,65850,22875110,123972228,157671,61778,2977634,50988,1851,542884,319,31620,89420,5895411
1375678599,2515153900,43132,22965618,123918761,151266,70417,3211994,50010,1709,623605,310,31728,82082,5619853
1374097155,2548165361,32168,22729890,123217702,150575,65511,3243871,43610,1872,633363,413,34246,83799,5637737
1374414439,2530396175,44330,22633822,122848128,162746,59837,3210837,39782,1716,623903,395,30735,85418,5681702
1370858715,2473313539,49690,22952665,123233512,161432,65519,3228038,42187,1637,615869,425,32882,84783,5688901
1375756251,2512152456,30026,23126523,122876428,152135,70652,3318090,50730,1758,620803,361,33488,82186,5588946
1376189104,2578026173,29882,22646473,121948183,154139,61241,3314112,38730,1803,623011,361,31881,85372,5591930
1370281305,2458773959,52674,23116458,121812242,159858,62156,3221054,38037,1641,623081,527,32362,86597,5517855
1369576945,2481526881,40903,22969949,122511228,156153,69800,3244337,51432,1880,618355,331,32672,83069,5561981
