cpu-cycles,instructions,branch-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss ,CPI
0.924218,0.926161,0.001091,0.95166,0.002419,0.031085,0.422121,0.043844,0.015783,0.011295,0.554559755
0.920342,0.944623,0.000764,0.95228,0.002431,0.028807,0.422833,0.04797,0.015901,0.009872,0.544728702
0.925527,0.933863,0.005499,0.944347,0.002428,0.023208,0.405571,0.04436,0.015555,0.013088,0.55164982
0.919605,0.925422,0.002732,0.953806,0.002308,0.018376,0.423214,0.048821,0.015288,0.020083,0.55294493
0.921428,0.933857,0.002733,0.956843,0.002376,0.01785,0.419108,0.04356,0.015388,0.020627,0.54993308
0.923452,0.94116,0.002654,0.953295,0.002384,0.017884,0.421566,0.048048,0.017104,0.020676,0.547544345
0.919382,0.933922,0.001958,0.944524,0.002402,0.017518,0.42237,0.042761,0.015051,0.018984,0.549045452
0.921266,0.932181,0.00207,0.951995,0.002221,0.017529,0.422641,0.047661,0.014312,0.018173,0.550612446
0.916954,0.921134,0.003212,0.954214,0.002548,0.0173,0.421692,0.04405,0.013568,0.01849,0.553760496
0.920242,0.927391,0.00277,0.949517,0.002145,0.016098,0.42315,0.049698,0.018322,0.020849,0.55232711
0.920108,0.935563,0.002141,0.947746,0.000305,0.017827,0.421248,0.04454,0.026629,0.019887,0.548621157
0.924559,0.947523,0.002442,0.949043,0.000104,0.016693,0.420232,0.046681,0.030431,0.02099,0.545213716
0.878969,0.872254,0.00226,0.897204,0.000012,0.019006,0.399274,0.045855,0.026546,0.015799,0.56005391
0.923815,0.941787,0.002532,0.953187,0.000074,0.01635,0.422078,0.047454,0.030537,0.019114,0.547419407
0.920916,0.923174,0.008568,0.924778,0.00026,0.016739,0.415623,0.044076,0.028629,0.018502,0.554514825
0.920206,0.936569,0.003835,0.954949,0.000077,0.00103,0.421378,0.048667,0.028368,0.026968,0.548216563
0.922719,0.937627,0.004202,0.953126,0.000132,0.001511,0.423627,0.042554,0.027846,0.028029,0.548799267
0.916141,0.917809,0.004327,0.94949,0.000145,0.001374,0.42303,0.046964,0.031281,0.029415,0.55492544
0.919333,0.92886,0.00434,0.950495,0.000155,0.000447,0.422872,0.043302,0.026325,0.027135,0.55128474
0.924604,0.924612,0.003853,0.947887,0.000119,0.001591,0.421084,0.044618,0.029085,0.028629,0.555423402
0.918935,0.928006,0.003605,0.946927,0.000089,0.002175,0.426511,0.039872,0.026184,0.027891,0.551499824
